comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
JANDAIA,3º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,673,674,28,3.99
JANDAIA,Vara Judicial,2025,2855,3386,3900,53.53
JATAÍ,1ª Vara Criminal (crimes em geral e execuções penais),2025,1687,1284,4101,76.16
JATAÍ,1ª Vara Cível,2025,1636,1363,3402,71.4
JATAÍ,2ª Vara Cível,2025,1563,1424,3262,69.61
JATAÍ,6º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,3157,3175,591,15.69
JATAÍ,Juizado Especial Cível e Criminal,2025,4462,4401,2974,40.33
JATAÍ,Juizado de Violência Doméstica e Familiar Contra a Mulher,2025,1439,1507,1711,53.17
JATAÍ,Vara de Família e Sucessões,2025,1720,2192,1281,36.88
JATAÍ,"Vara de Fazendas Públicas, Registros Públicos e Infância e Juventude",2025,2599,3156,4160,56.86
JOVIÂNIA,Vara Judicial,2025,818,921,1027,52.72
JUSSARA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025,1846,2105,2718,56.35
JUSSARA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025,1772,3171,2510,44.18
LEOPOLDO DE BULHÕES,Vara Judicial,2025,1475,1779,2313,56.52
LUZIÂNIA,10º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,674,838,168,16.7
LUZIÂNIA,1ª Vara (Cível e da Faz. Púb. Estadual),2025,2831,2961,6123,67.4
LUZIÂNIA,"1ª Vara Criminal (crimes dolosos contra a vida, Pres. Trib do Juri e Execuções Penais)",2025,1501,1395,3657,72.39
LUZIÂNIA,1ª Vara de Família e Sucessões,2025,1479,1436,1318,47.86
LUZIÂNIA,"2ª Vara (Cível, da Faz. Púb. Mun., de Reg. Púb. e Amb.)",2025,3209,6026,10591,63.74
LUZIÂNIA,2ª Vara de Família e Sucessões,2025,1510,1432,1858,56.47
LUZIÂNIA,Juizado da Infância e da Juventude,2025,869,1150,669,36.78
MAURILÂNDIA,Vara Judicial,2025,2209,3059,3259,51.58
MINEIROS,1ª Vara (Cível e da Inf. e da Juventude),2025,1140,1059,2346,68.9
MINEIROS,"2ª Vara (Cív, das Faz Púb, de Reg Púb. e Amb.)",2025,1999,2717,4065,59.94
MINEIROS,Juizado Especial Cível e Criminal,2025,2284,3205,2524,44.06
MINEIROS,"Vara de Família, Sucessões e Cível",2025,1942,2028,4891,70.69
MONTES CLAROS DE GOIÁS,Vara Judicial,2025,1151,1350,1606,54.33
MONTIVIDIU,Vara Judicial,2025,1414,1750,3251,65.01
MORRINHOS,"1ª Vara (Cív., Criminal - crime em geral e exec. penais - e da Inf. e da Juv.)",2025,2081,2203,3071,58.23
MOSSÂMEDES,Vara Judicial,2025,800,929,1289,58.12
NAZÁRIO,Vara Judicial,2025,1646,2064,3230,61.01
NOVA CRIXÁS,Vara Judicial,2025,2435,2752,5257,65.64
NOVO GAMA,"1ª Vara (Cível, de Família, Sucessões e da Infância e da Juventude)",2025,2222,2544,2804,52.43
ORIZONA,Vara Judicial,2025,1454,1694,2964,63.63
PALMEIRAS DE GOIÁS,Vara Judicial,2025,3957,3846,8005,67.55
PARANAIGUARA,Vara Judicial,2025,968,943,1419,60.08
PARAÚNA,Vara Judicial,2025,1587,1888,2909,60.64
PETROLINA DE GOIÁS,Vara Judicial,2025,1167,1109,2610,70.18
PIRANHAS,Vara Judicial,2025,2105,2297,3244,58.55
PIRENÓPOLIS,14º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,148,114,48,29.63
PIRENÓPOLIS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025,1907,2605,2131,45.0
PIRENÓPOLIS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025,1433,2669,2563,48.99
PONTALINA,Vara Judicial,2025,2299,2548,4241,62.47
PORANGATU,15º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,1643,1471,444,23.19
PORANGATU,Juizado Especial Cível e Criminal,2025,1999,2570,1197,31.78
PORANGATU,Vara Criminal,2025,1644,1837,2483,57.48
POSSE,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível, de Registros Públicos, Ambiental e Juizado Especial Cível)",2025,1743,1763,2551,59.13
POSSE,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Especial Criminal)",2025,1691,1828,4023,68.76
RIALMA,Vara Judicial,2025,2373,3471,3336,49.01
RIO VERDE,1ª Vara Cível,2025,2577,2497,4657,65.1
RIO VERDE,1º Juizado Especial Cível e Criminal,2025,3682,3675,1593,30.24
RIO VERDE,2ª Vara Cível,2025,2585,2298,5182,69.28
RIO VERDE,2º Juizado Especial Cível e Criminal,2025,3661,3975,1571,28.33
RIO VERDE,3ª Vara Cível,2025,2584,2369,4877,67.31
RIO VERDE,7º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,496,274,289,51.33
RIO VERDE,Juizado da Infância e da Juventude,2025,796,867,490,36.11
RIO VERDE,Juizado de Violência Doméstica e Familiar Contra a Mulher,2025,2582,2102,3561,62.88
RIO VERDE,"Vara das Faz. Púb., de Reg. Púb. e Amb.",2025,2043,4669,7752,62.41
SANCLERLÂNDIA,Vara Judicial,2025,1405,1441,2664,64.9
SANTA CRUZ DE GOIÁS,Vara Judicial,2025,1150,1405,1903,57.53
SANTA HELENA DE GOIÁS,"1ª Vara (Cív., Criminal - crime em geral e exec. penais - e da Inf. e da Juv.)",2025,1591,1667,3006,64.33
SANTA HELENA DE GOIÁS,"2ª Vara (Cív., Criminal – crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Juri, das Faz. Púb. e de Reg. Púb.)",2025,1666,2627,3509,57.19
SANTA HELENA DE GOIÁS,Juizado Especial Cível e Criminal,2025,1795,2174,969,30.83
SANTA TEREZINHA DE GOIÁS,Vara Judicial,2025,1494,2252,3441,60.44
SANTO ANTÔNIO DO DESCOBERTO,"1ª Vara (Cível, de Família, Sucessões e da Infância e da Juventude)",2025,1543,1679,1797,51.7
SANTO ANTÔNIO DO DESCOBERTO,"2ª Vara (Cível, das Fazendas Públicas, de Registros Públicos e Ambiental)",2025,2169,2882,4947,63.19
SANTO ANTÔNIO DO DESCOBERTO,Juizado Especial Cível e Criminal,2025,1349,1537,1214,44.13
SANTO ANTÔNIO DO DESCOBERTO,Vara Criminal,2025,1720,1951,4114,67.83
SENADOR CANEDO,Juizado Especial Cível e Criminal,2025,3987,5079,3622,41.63
SENADOR CANEDO,"Vara de Família, Sucessões e Infância e Juventude",2025,2349,2133,2553,54.48
SENADOR CANEDO,"Vara de Fazendas Públicas, Registros Públicos e Ambiental",2025,2090,6574,4521,40.75
SERRANÓPOLIS,Vara Judicial,2025,1887,2175,3647,62.64
SILVÂNIA,Vara Judicial,2025,2535,3591,6022,62.64
SÃO DOMINGOS,Vara Judicial,2025,1362,1684,1746,50.9
SÃO MIGUEL DO ARAGUAIA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025,3065,2688,3937,59.43
SÃO MIGUEL DO ARAGUAIA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025,1537,2123,2799,56.87
TRIBUNAL DE JUSTIÇA,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DR. ROGERIO CARVALHO PINHEIRO,2025,365,19,358,94.96
TRIBUNAL DE JUSTIÇA,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. STEFANE FIÚZA CANÇADO MACHADO,2025,100,13,89,87.25
TRIBUNAL DE JUSTIÇA,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. VIVIANE SILVA DE MORAES AZEVEDO,2025,2700,3711,1010,21.39
TRIBUNAL DE JUSTIÇA,GABINETE DES. ADEGMAR JOSÉ FERREIRA,2025,1914,1828,561,23.48
TRIBUNAL DE JUSTIÇA,GABINETE DES. ADRIANO ROBERTO LINHARES CAMARGO,2025,1888,1698,671,28.32
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALEXANDRE DE MORAIS KAFURI,2025,2702,3462,806,18.88
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALGOMIRO CARVALHO NETO,2025,2653,3609,740,17.02
